Organism,Isolate_Code,Target_Bacteria,National_Site,Local_Site,Sample_Source,Replicate,Colony,ESBL,Ampicillin_MIC,Ampicillin_INT,Amoxicillin/Clavulanic Acid_MIC,Amoxicillin/Clavulanic Acid_INT,Ceftaroline_MIC,Ceftaroline_INT,Cefalexin_MIC,Cefalexin_INT,Cefalotin_MIC,Cefalotin_INT,Cefpodoxime_MIC,Cefpodoxime_INT,Cefotaxime_MIC,Cefotaxime_INT,Cefovecin_MIC,Cefovecin_INT,Ceftiofur_MIC,Ceftiofur_INT,Ceftazidime/Avibactam_MIC,Ceftazidime/Avibactam_INT,Imepenem_MIC,Imepenem_INT,Amikacin_MIC,Amikacin_INT,Gentamicin_MIC,Gentamicin_INT,Neomycin_MIC,Neomycin_INT,Nalidixic Acid_MI,Nalidixic Acid_INT,Enrofloxacin_MIC,Enrofloxacin_INT,Marbofloxacin_MIC,Marbofloxacin_INT,Pradofloxacin_MIC,Pradofloxacin_INT,Doxycycline_MIC,Doxycycline_INT,Tetracycline_MIC,Tetracycline_INT,Nitrofurantoin_MIC, Nitrofurantoin_INT,Chloramphenicol_MIC,Chloramphenicol_INT,Trimethoprim/Sulfamethazole_MIC,Trimethoprim/Sulfamethazole_INT,Scored Resistance,MAR INDEX
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR1C13,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,1,13,POSITIVE,>=32,R,4,S,,,>=64,R,>=64,R,<=0.25,S,,,4,I,4,I,,,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,4,S,<=20,S,3,0.16
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR1C15,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,1,15,NEGATIVE,>=32,R,16,I,,S,>=64,R,>=64,R,<=0.25,S,,,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,0.5,S,<=0.5,S,0.25,S,>=16,R,>=16,R,64,I,4,S,40,S,5,0.24
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR1C16,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,1,16,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
ESCHERICHIA COLI,EC_MKFTR2C1,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,1,NEGATIVE,4,S,<=2,S,,S,8,S,16,I,0.5,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ESCHERICHIA COLI,EC_MKFTR2C2,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,2,NEGATIVE,4,S,<=2,S,,S,8,S,16,I,0.5,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ESCHERICHIA COLI,EC_MKFTR2C3,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,3,NEGATIVE,>=32,R,8,S,,S,8,S,16,I,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,32,S,4,S,>=320,R,4,0.18
ESCHERICHIA COLI,EC_MKFTR2C4,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,4,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR2C5,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,5,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR2C7,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,7,NEGATIVE,>=32,R,8,S,,S,<=4,S,4,S,<=0.25,S,,,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,<=2,S,>=320,R,4,0.19
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR2C8,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,8,NEGATIVE,>=32,R,4,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR2C15,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,15,NEGATIVE,>=32,R,4,S,,S,<=4,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,<=2,S,>=320,R,4,0.18
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR2C16,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,2,16,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
ESCHERICHIA COLI,EC_MKFTR3C1,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,1,NEGATIVE,4,S,<=2,S,,S,8,S,16,I,0.5,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C2,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,2,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
ENTEROBACTER CLOACAE COMPLEX,EC_MKFTR3C3,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,3,,,,>=32,R,,,>=64,R,8,*R,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,<=2,S,<=20,S,3,0.15
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C4,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,4,NEGATIVE,>=32,R,8,S,,S,<=4,S,4,S,<=0.25,S,,,1,S,<=1,S,,S,1,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,4,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C5,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,5,NEGATIVE,<=2*,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C7,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,7,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C8,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,8,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C9,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,9,NEGATIVE,16,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C13,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,13,NEGATIVE,>=32,R,4,S,,S,<=4,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,<=2,S,>=320,R,4,0.18
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFTR3C14,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH TILAPIA,3,14,NEGATIVE,16,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,<=16,S,<=2,S,<=20,S,1,0.05
ESCHERICHIA COLI,EC_MKFKR1C2,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,2,NEGATIVE,<=2,S,<=2,S,,S,8,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ESCHERICHIA COLI,EC_MKFKR1C3,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,3,NEGATIVE,<=2,S,<=2,S,,S,8,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ENTEROBACTER CLOACAE COMPLEX,EC_MKFKR1C4,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,4,,,,<=2,*R,,,>=64,R,>=64,R,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,64,I,4,S,<=20,S,5,0.24
ESCHERICHIA COLI,EC_MKFKR1C6,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,6,NEGATIVE,<=2,S,<=2,S,,S,8,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR1C7,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,7,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,2*,*I,>=16,R,128,R,<=2,S,<=20,S,3,0.14
ESCHERICHIA COLI,EC_MKFKR1C8,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,8,NEGATIVE,<=2,S,<=2,S,,S,8,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ENTEROBACTER CLOACAE COMPLEX,EC_MKFKR1C9,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,9,,,,>=32,R,,,>=64,R,>=64,R,2,S,,,4,I,<=1,S,,S,0.5,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,4,S,2,S,32,S,8,S,<=20,S,3,0.15
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR1C11,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,11,NEGATIVE,>=32,R,>=32,R,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,TRM,,TRM,,<=0.12,S,TRM,,<=1,S,64,I,4,S,<=20,S,2,0.09
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR1C15,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,15,NEGATIVE,>=32,R,4,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR1C16,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,1,16,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,2*,*I,>=16,R,64,I,4,S,<=20,S,2,0.09
ESCHERICHIA COLI,EC_MKFKR2C1,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,1,NEGATIVE,<=2,S,<=2,S,,S,8,S,8,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR2C2,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,2,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,1,0.05
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR2C3,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,3,NEGATIVE,16,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
ENTEROBACTER CLOACAE COMPLEX,EC_MKFKR2C4,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,4,,,,4,S,,,<=4,S,<=2,S,<=0.25,S,,,<=0.5,S,<=1,S,,,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,0,0
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR2C6,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,6,NEGATIVE,16,*R,4,S,,S,<=4,S,<=2,S,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,4,S,<=20,S,1,0.05
ENTEROBACTER AEROGENES,EC_MKFKR2C11,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,11,,,,4,S,,,<=4,S,<=2,S,<=0.25,S,,,1,S,<=1,S,,,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,0,0
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR2C13,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,13,NEGATIVE,>=32,R,<=2,S,,S,>=64,R,>=64,R,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,0.25,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,64,I,<=2,S,<=20,S,5,0.23
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR2C14,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,14,NEGATIVE,>=32,R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
ESCHERICHIA COLI,EC_MKFKR2C15,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,2,15,NEGATIVE,<=2,S,<=2,S,,S,8,S,8,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ESCHERICHIA COLI,EC_MKFKR3C2,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,2,NEGATIVE,<=2,S,<=2,S,,S,8,S,4,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,2,0.09
ENTEROBACTER CLOACAE COMPLEX,EC_MKFKR3C3,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,3,,,,<=2,*R,,,8,*R,4*,*R,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,5,0.25
ENTEROBACTER CLOACAE COMPLEX,EC_MKFKR3C4,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,4,,,,<=2,*R,,,8,*R,4*,*R,<=0.25,S,,S,1,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,>=16,R,>=16,R,<=16,S,8,S,<=20,S,5,0.25
ENTEROBACTER AEROGENES,EC_MKFKR3C7,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,7,,,,>=32,R,,S,>=64,R,16,*R,<=0.25,S,,S,1,S,<=1,S,,S,1,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,4,S,<=20,S,3,0.14
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR3C10,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,10,NEGATIVE,16,*R,<=2,S,,S,<=4,S,<=2,S,<=0.25,S,,S,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,1,0.05
ENTEROBACTER AEROGENES,EC_MKFKR3C11,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,11,,,,<=2,S,,,<=4,S,<=2,S,<=0.25,S,,,<=0.5,S,<=1,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,64,I,<=2,S,<=20,S,0,0
KLEBSIELLA PNEUMONIAE SSP PNEUMONIAE,EC_MKFKR3C13,ESCHERICHIA COLI,MARAWI CITY,TUCA KIALDAN,FISH KAOLANG,3,13,NEGATIVE,>=32,R,<=2,S,,S,>=64,R,<=2*,S,<=0.25,S,,S,<=0.5,S,2,S,,S,<=0.25,S,<=2,S,<=1,S,<=2,S,,,<=0.12,S,<=0.5,S,<=0.12,S,1,S,<=1,S,32,S,<=2,S,<=20,S,2,0.09